datasetName,parentEventID,eventID,samplingProtocol,samplingSizeValue,samplingSizeUnit,eventDate,eventTime,year,month,day,habitat,eventRemarks,country,countryCode,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,strata
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_202122,ARG_PMADRY_PCUEVA_RS_202122_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-02-02T00:00:00Z,07:00:00Z/08:00:00Z,2021,2,2,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-65.0021186206156,-42.7794210423177,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_2021125,ARG_PMADRY_PCUEVA_RS_2021125_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-25T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,25,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-65.0021186206156,-42.7794210423177,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_2021125,ARG_PMADRY_PCUEVA_RS_2021125_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-25T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,25,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-65.0021186206156,-42.7794210423177,5,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_2021128,ARG_PMADRY_PESTE_RS_2021128_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-28T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,28,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.95264,-42.78511,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_2021128,ARG_PMADRY_PESTE_RS_2021128_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-28T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,28,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.95264,-42.78511,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_2021128,ARG_PMADRY_PESTE_RS_2021128_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-28T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,28,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.95264,-42.78511,5,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_2021129,ARG_PMADRY_PLOMA_RS_2021129_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-29T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,29,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.8924517466277,-42.8119191469286,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_2021129,ARG_PMADRY_PLOMA_RS_2021129_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-29T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,29,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.8924517466277,-42.8119191469286,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_2021129,ARG_PMADRY_PLOMA_RS_2021129_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-01-29T00:00:00Z,07:00:00Z/08:00:00Z,2021,1,29,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.8924517466277,-42.8119191469286,5,WGS84,HIGH
