datasetName,parentEventID,eventID,samplingProtocol,samplingSizeValue,samplingSizeUnit,eventDate,eventTime,year,month,day,habitat,eventRemarks,country,countryCode,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,strata
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_20211215,ARG_PMADRY_PCUEVA_RS_20211215_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-15T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,15,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-65.0021186206156,-42.7794210423177,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_20211215,ARG_PMADRY_PCUEVA_RS_20211215_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-15T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,15,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-65.0021186206156,-42.7794210423177,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_20211215,ARG_PMADRY_PCUEVA_RS_20211215_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-15T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,15,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-65.0021186206156,-42.7794210423177,5,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_20211217,ARG_PMADRY_PESTE_RS_20211217_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-17T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,17,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.95264,-42.78511,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_20211217,ARG_PMADRY_PESTE_RS_20211217_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-17T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,17,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.95264,-42.78511,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_20211217,ARG_PMADRY_PESTE_RS_20211217_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-17T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,17,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.95264,-42.78511,5,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_20211213,ARG_PMADRY_PLOMA_RS_20211213_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-13T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,13,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.8924517466277,-42.8119191469286,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_20211213,ARG_PMADRY_PLOMA_RS_20211213_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-13T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,13,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.8924517466277,-42.8119191469286,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_20211213,ARG_PMADRY_PLOMA_RS_20211213_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2021-12-13T00:00:00Z,07:00:00Z/08:00:00Z,2021,12,13,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-64.8924517466277,-42.8119191469286,5,WGS84,HIGH
